transaction_id,transaction_date,market,region_city,channel_type,channel_subtype,retailer_id,retailer_name,brand,product_line,pack_size_ml,unit_price_local,currency,quantity_sold,gross_revenue_local,trade_spend_local,promo_flag,stockout_flag,competitor_present_flag,distribution_points_nearby,sales_rep_id,payment_method,consumer_segment,data_source
TXN111186,21-Jul-2024, Nigeria,Onitsha ,Informal ,Street Vendor,NG-STR-6152,Mobile Vendor,SUNSILK,Sachet Multi-pack,100,248.23,NGN,6,1489.38,,NO,Yes,YES,14,  REP-NG-288  ,CASH,Low Income,POS System
TXN104081,"May 03, 2023",Nigeria,Benin City,Formal ,Mini-Mart,NG-MIN-6225,EasyBuy Mart,GARNIER,Sachet Multi-pack,60,115.64,NGN,2,231.28,16.01,NO,unknown,false,27,REP-NG-305,cash,Lower-Middle Income,Field Survey
TXN107174,20.06.24,NG,Port Harcourt,Informal,Street Vendor,NG-STR-6365,null,Amila,Bottle,340,400.49,NGN,3,1201.47,103.04,True,N,FALSE,13,REP-NG-289,MoMo,Low Income,POS System
TXN112968,2024/11/24,NIGERIA,Ibadan,formal,Mini-Mart,NG-MIN-5426,Corner MiniMart,local generic,Sachet,15,40.55,NGN,3,121.65,9.79,True,NO,TRUE,unknown,REP-NG-401,mobile_money,Lower-Middle Income,Field Survey
TXN104070,"January 15, 2024",Kenya,Nakuru,informal,Kiosk,KE-KIO-8204,Kwik Stop,sunsilk,Sachet,10,8.33,KES,6,49.98,3.22,No,false,No,51,REP-KE-120,MoMo,Low Income,Retail Audit
TXN115234,"February 19, 2023",Ghana,Unknown,INFORMAL,Street Vendor,GH-STR-2634,Mobile Vendor,Garnier,Sachet Multi-pack,100,11.35,GHS,3,34.05,1.92,False,-,false,26,REP-GH-302,card,Low Income,Field Survey
TXN102266,08-24-2024,Nigeria,Port Harcourt,Formal ,Supermarket,NG-SUP-9095,null,Cantu,Sachet Multi-pack,75,243.31,NGN,6,1459.86,34.36,FALSE,No,no,2,REP-NG-235,mobile_money,Middle Income,Distributor Report
TXN105050,2023/09/11,Ghanna,Kumasi,formal,Pharmacy,GH-PHA-5250,MedPlus,Cantu,Sachet,15,-,GHS,2,13.64,0.97,n/a,N,no,,REP-GH-293,CASH,-,POS System
TXN111236,2023-12-06,GH,Tamale,Informal,Open-Air Market,GH-OPE-5080,Kejetia Market Stand,cantu,Sachet,25,10.03,GHS,8,80.24,2.45,False,False,No,24,REP-GH-225 ,Mobile Money,Lower-Middle Income,POS System
TXN102194,08/01/2024,NG,Onitsha,In-formal,Kiosk,NG-KIO-1068,Blessing Stores,GARNIER,Sachet,10,55.32,NGN,5,276.6,22.27,NO,,true,23,REP-NG-344,mobile money,Low Income,Field Survey
